Name,Geber,Art,NJahr,Anschrift,Politikbereich,Zweck,Betrag
1. Berliner Bogenschützen e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2018,"Friedrichsruher Straße 26, 14193 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,574
1. Berliner Bogenschützen e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2019,"Friedrichsruher Straße 26, 14193 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,349
1. Berliner Bogenschützen e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2020,"Friedrichsruher Straße 26, 14193 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,504
1. Berliner Inklusions-Tauchclub e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2019,"Quellweg 23, 13629 Berlin",Sport,Vereinsentwicklungsprogramm,9365
1. Berliner Skateboardverein,Senatsverwaltung für Inneres und Sport,Projektförderung,2018,"Danzigerstraße 119, 10407 Berlin",Sport,Fördervereinbarung / Förderung des Jugendwettkampfsports,2325
1. Berliner Skateboard-Verein e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2016,"Gleditschstraße 37, 10781 Berlin",Sport,Masterplan Integration und Sicherheit durch Sport,2729
1. FC Lübars e. V.,Bezirksamt Reinickendorf,Projektförderung,2019,"Schluchseestraße 68, 13469 Berlin",Stadtentwicklung,Trainingscamp in den Herbstferien,2000
1. FC Lübars e. V.,Bezirksamt Reinickendorf,Projektförderung,2020,"Schluchseestraße 68, 13469 Berlin",Sport,Schaffung besserer Trainingsbedingungen für die Jugendarbeit des 1. FC Lübars (BVV-Sondermittel),3287
1. FC Lübars e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2016,"Schluchseestraße 68, 13469 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,4249
1. FC Union Berlin e. V.,"Senatsverwaltung für Bildung, Jugend und Familie",Projektförderung,2020,"An der Wuhlheide 263, 12555 Berlin",Bildung,Profivereine machen Kita - Bewegungs- und Sportförderung an Kitas,95570
1. FC Union Berlin e. V.,"Senatsverwaltung für Bildung, Jugend und Familie",Projektförderung,2020,"An der Wuhlheide 263, 12555 Berlin",Bildung,Profivereine machen Schule - Bewegungs- und Sportförderung an Grundschulen,138478
1. FC Wilmersdorf 1911 e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2016,"Blissestraße 20 b, 10713 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,4830
1. FC Wilmersdorf 1911 e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2017,"Blissestraße 20 b, 10713 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,4605
1. FC Wilmersdorf 1911 e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2018,"Blissestraße 20 b, 10713 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,5405
